created_at,entry_id,temperatura_ambiente,humedad_ambiente,temperatura_suelo,humedad_suelo,latitude,longitude,elevation,status
2024-11-11T16:08:03+00:00,1213,29.3,48,20.25,78,,,,
2024-11-11T16:08:20+00:00,1214,29.3,48,20.31,78,,,,
2024-11-11T16:08:41+00:00,1215,29.3,48,20.25,78,,,,
2024-11-11T16:09:00+00:00,1216,29.3,48,20.25,78,,,,
2024-11-11T16:09:21+00:00,1217,29.3,48,20.31,78,,,,
2024-11-11T16:09:41+00:00,1218,29.8,48,20.31,78,,,,
2024-11-11T16:09:58+00:00,1219,29.8,48,20.31,1,,,,
2024-11-11T16:10:18+00:00,1220,29.8,48,20.25,70,,,,
2024-11-11T16:10:36+00:00,1221,29.7,48,20.25,69,,,,
2024-11-11T16:10:53+00:00,1222,29.3,48,20.19,69,,,,
2024-11-11T16:11:09+00:00,1223,29.3,48,20.25,69,,,,
2024-11-11T16:11:27+00:00,1224,29.3,48,20.25,69,,,,
2024-11-11T16:11:44+00:00,1225,29.3,48,20.25,69,,,,
2024-11-11T16:12:01+00:00,1226,29.3,48,20.25,69,,,,
2024-11-11T16:12:18+00:00,1227,29.3,48,20.31,70,,,,
2024-11-11T16:12:34+00:00,1228,29.3,48,20.31,70,,,,
2024-11-11T16:12:51+00:00,1229,29.3,48,20.31,70,,,,
2024-11-11T16:13:08+00:00,1230,29.3,48,20.31,70,,,,
2024-11-11T16:13:25+00:00,1231,29.3,48,20.31,71,,,,
2024-11-11T16:13:41+00:00,1232,29.3,47,20.31,71,,,,
2024-11-11T16:13:58+00:00,1233,29.3,47,20.37,70,,,,
2024-11-11T16:14:14+00:00,1234,29.8,48,20.37,70,,,,
2024-11-11T16:14:31+00:00,1235,29.8,47,20.37,71,,,,
2024-11-11T16:14:48+00:00,1236,29.8,47,20.37,1,,,,
2024-11-11T16:15:07+00:00,1237,29.8,47,20.37,49,,,,
2024-11-11T16:15:23+00:00,1238,29.8,47,20.37,48,,,,
2024-11-11T16:15:40+00:00,1239,29.8,47,20.37,48,,,,
2024-11-11T16:15:58+00:00,1240,29.8,47,20.37,48,,,,
2024-11-11T16:16:15+00:00,1241,29.8,47,20.37,48,,,,
2024-11-11T16:16:31+00:00,1242,29.8,47,20.44,48,,,,
2024-11-11T16:16:49+00:00,1243,29.8,48,20.37,48,,,,
2024-11-11T16:17:07+00:00,1244,29.8,48,20.44,47,,,,
2024-11-11T16:17:24+00:00,1245,30.2,47,20.44,48,,,,
2024-11-11T16:17:41+00:00,1246,30.2,47,20.44,47,,,,
2024-11-11T16:17:58+00:00,1247,30.2,46,20.44,47,,,,
2024-11-11T16:18:14+00:00,1248,30.2,46,20.44,47,,,,
2024-11-11T16:18:31+00:00,1249,30.2,46,20.44,47,,,,
2024-11-11T16:18:47+00:00,1250,30.2,46,20.44,47,,,,
2024-11-11T16:19:08+00:00,1251,30.2,46,20.44,47,,,,
2024-11-11T16:19:26+00:00,1252,30.2,46,20.5,48,,,,
2024-11-11T16:19:43+00:00,1253,30.2,46,20.44,47,,,,
2024-11-11T16:19:59+00:00,1254,30.2,46,20.5,47,,,,
2024-11-11T16:20:15+00:00,1255,30.2,46,20.44,47,,,,
2024-11-11T16:20:33+00:00,1256,30.2,46,20.5,47,,,,
2024-11-11T16:20:50+00:00,1257,30.2,46,20.5,47,,,,
2024-11-11T16:21:08+00:00,1258,30.2,46,20.5,47,,,,
2024-11-11T16:21:25+00:00,1259,30.2,46,20.5,47,,,,
2024-11-11T16:21:42+00:00,1260,30.2,46,20.5,47,,,,
2024-11-11T16:21:58+00:00,1261,30.2,46,20.5,47,,,,
2024-11-11T16:22:15+00:00,1262,30.2,46,20.56,47,,,,
2024-11-11T16:22:31+00:00,1263,30.2,46,20.5,47,,,,
2024-11-11T16:22:49+00:00,1264,30.2,46,20.56,47,,,,
2024-11-11T16:23:06+00:00,1265,30.2,46,20.56,47,,,,
2024-11-11T16:23:23+00:00,1266,30.2,46,20.56,47,,,,
2024-11-11T16:23:40+00:00,1267,29.8,47,20.56,47,,,,
2024-11-11T16:23:56+00:00,1268,29.8,47,20.56,47,,,,
2024-11-11T16:24:13+00:00,1269,29.8,47,20.5,0,,,,
2024-11-11T16:24:30+00:00,1270,29.8,47,19.94,0,,,,
2024-11-13T13:30:33+00:00,1271,22.2,77,20.06,42,,,,
2024-11-13T13:30:50+00:00,1272,22.2,77,20.12,42,,,,
2024-11-13T13:31:07+00:00,1273,22.2,76,20.12,43,,,,
2024-11-13T13:31:23+00:00,1274,22.2,76,20.06,43,,,,
